lantai,toko,x,y
3,2XU Performance Store,577,116
3,3mongkis,837,351
3A,Abura Soba Yamatoten,265,115
3,Adidas,363,218
2,ADLV (Acme De La Vie),680,95
1,Aldo,309,105
3,Alun-Alun Indonesia,216,168
3,Anna Wijaya Salon,288,69
1,Aramnano Exchange,678,143
3,Arena,611,105
3,Asics,591,162
3A,ATM center,364,64
2,Atmos Pink,597,106
1,Aurum Lab,241,84
1,Auto Glaze,128,99
3A,Baby Dutch,350,110
3,Bag's City,302,177
3A,Ban Ban,184,114
3,Barberia Shortcut,330,84
1,Bath & Body Works,659,107
3,Bathaholic,243,95
3,Beauty Haul,294,90
1,Bershka,487,130
2,Birkenstock,447,198
3A,Blibli Store,910,331
3,Bodies.co,708,218
3A,Boost Juice,403,99
3A,Bose,786,298
3,Bridges Eyewear,630,146
3,Brodo,660,255
3,Browhaus & Strip,218,69
2,Buiboo,330,92
3,Callie,743,357
1,Calvin Klein,633,152
3A,Carniville,795,122
2,Casio,553,168
3,CAT Footwear Pop Up,401,178
2,Central Department Store - Kids,849,355
1,Central Department Store - Men,853,351
1,Charles & Keith,339,106
3A,Chateraise,696,136
3A,Chatime,705,156
3,CHICHA San Chen,680,300
3A,Choco Ichibaya,397,231
3A,Cinnabon,807,248
2,Converse,512,124
3,Corkcicle Pop Up,594,128
2,Cotton On,376,227
3,Crocodile,659,237
3,Crocs,643,97
2,DAMN I LOVE INDONESIA,610,130
2,Deus Ex Machina,469,184
1,Digimap,706,143
3A,Digimap Planet Sports,1055,466
3A,DigiPlus,1062,458
3A,DJI,926,340
3A,Don Bakeshop,484,196
2,Dope & Dapper,636,105
3A,Doughzen,506,156
2,Dr. Martens,702,159
3,Dynamic Bakery,819,413
2,Early Learning Center,276,49
3A,Eight Treasure Noodle House,615,165
3A,Erafone,772,316
3,Erha Ultimate,317,136
3,Et Catera,654,223
3,Everlash,196,71
3,FILA,424,197
3,Fisik Football,400,205
3A,Foek Lam,315,158
3A,FOGO,200,159
3,Foot Locker,719,96
2,Fossil,505,188
2,Fred Perry,572,173
3A,Fuji Film,894,326
2,G Card Counter (West Mall lt 2),381,86
2,G Card Counter (East Mall lt 2),714,123
